ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 272728, 272727, 727272, 272728, 181818, 727272, 272728, 954545, 500000,     11,833
 325278, 189591, 781412, 218588, 160594, 822304, 177696, 644985, 295540,   1345,228
 325630, 391596, 578991, 421009, 348739, 605882, 394118, 714285, 365545,   1190,155
 336715, 382882, 590090, 409910, 351351, 623873, 376127, 657655, 331085,    444,595
 350545, 197463, 771739, 228261, 168478, 802536, 197464, 644925, 346015,    552,1044
 383383, 189018, 780369, 219631, 169096, 807094, 192906, 599610, 366375,   2058,121
 383813, 556135, 412532, 587468, 532114, 434986, 565014, 620105, 387730,   1915,113
 389155, 429358, 534569, 465431, 402555, 552104, 447896, 634015, 412325,   3992,146
 394390, 458385, 517654, 482346, 428121, 529634, 470366, 651320, 440100,   1586,142
 397003, 282504, 673087, 326913, 265917, 697699, 302301, 582935, 376940,   1869,216
 400795, 215608, 760582, 239418, 189153, 773809, 226191, 632275, 433865,    756,1060
 402398, 284931, 687671, 312329, 265068, 706849, 293151, 599315, 404110,   2920,105
 403845, 634615, 365384, 634616, 605769, 375000, 625000, 644230, 451920,    104,1028
 413425, 182637, 781309, 218691, 165085, 798387, 201613, 587760, 414610,   2108,212
 414615, 463860, 512311, 487689, 442414, 525019, 474981, 607230, 436460,   1259,15
 415948, 220372, 752663, 247337, 203395, 769307, 230693, 584885, 416780,   3004,680
 417863, 544147, 422997, 577003, 523613, 435318, 564682, 602670, 438395,    487,93
 420673, 528846, 447115, 552885, 503846, 453846, 546154, 625000, 466345,   1040,354
 423245, 312280, 667543, 332457, 292982, 678947, 321053, 596490, 442980,   1140,663
 426258, 676982, 297388, 702612, 660058, 309961, 690039, 584620, 437135,   2068,943
 426820, 367088, 608386, 391614, 351265, 621835, 378165, 579115, 432755,   1264,861
 428415, 801762, 185022, 814978, 781938, 193832, 806168, 599120, 455950,    454,865
 431460, 473890, 480417, 519583, 458224, 492167, 507833, 578330, 441250,    766,492
 434070, 171062, 801140, 198860, 152530, 808980, 191020, 592660, 460800,   1403,232
 435180, 625220, 344725, 655275, 611078, 356511, 643489, 570710, 441070,   1697,947
 435270, 678941, 295742, 704258, 663118, 305811, 694189, 579115, 449655,   3476,33
 436468, 468462, 498469, 501531, 455296, 510716, 489284, 565830, 438765,   3266,755
 437500, 167857, 805952, 194048, 155357, 818452, 181548, 562500, 437500,   1680,224
 438615, 328839, 645161, 354839, 314877, 655753, 344247, 569810, 447040,   2077,443
 439630, 396028, 572846, 427154, 383149, 584115, 415885, 564395, 443655,   3727,530
 440828, 520710, 467455, 532545, 502958, 473372, 526628, 588760, 470415,    169,19
 440905, 583452, 386819, 613181, 569126, 396131, 603869, 571630, 453440,   2792,747
 441208, 407268, 559059, 440941, 394975, 570283, 429717, 561465, 443880,   1871,526
 444445, 165165, 795195, 204805, 153153, 805405, 194595, 560060, 448950,   1665,283
 444530, 161648, 801901, 198099, 154252, 816693, 183307, 536980, 426040,   1893,117
 444738, 342777, 625155, 374845, 324719, 629202, 370798, 590290, 479765,   3212,165
 445040, 532976, 437314, 562686, 522875, 449197, 550803, 550505, 440585,   1683,751
 445413, 206134, 766571, 233429, 196516, 778788, 221212, 548090, 438915,   3847,236
 445775, 510845, 467464, 532536, 496634, 474943, 525057, 571055, 462605,   1337,266
 446310, 452592, 518596, 481404, 439497, 526977, 473023, 565475, 458095,   3818,959
 448290, 517899, 459029, 540971, 504375, 466189, 533811, 567620, 464200,   1257,886
 449080, 491755, 483996, 516004, 481086, 493695, 506305, 553345, 451505,   1031,812
 449685, 320851, 649660, 350340, 308682, 657617, 342383, 560845, 460215,   4273,240
 451138, 506749, 462824, 537176, 500503, 476123, 523877, 531230, 433505,   4963,968
 453163, 686815, 285613, 714387, 679038, 296571, 703429, 538885, 445210,   2829,60
 454993, 166939, 816693, 183307, 151391, 819148, 180852, 577740, 487725,   1222,684
 455155, 488789, 486297, 513703, 477827, 493273, 506727, 554810, 465120,   2007,837
 456325, 500794, 476442, 523558, 488618, 481736, 518264, 560880, 473530,   1889,575
 456690, 527559, 440157, 559843, 513385, 443307, 556693, 570870, 484250,   1270,77
 457708, 253741, 726089, 273911, 242029, 731294, 268706, 558560, 473975,   1537,262
 457915, 417934, 550663, 449337, 409517, 559080, 440920, 542085, 457915,   3089,571
 458510, 232765, 739148, 260852, 222978, 745957, 254043, 548935, 465955,   2350,672
 459678, 490845, 482563, 517437, 485178, 493025, 506975, 528335, 447690,   2294,628
 461133, 437810, 525497, 474503, 432835, 536069, 463931, 524875, 447140,   3216,559
 462425, 468475, 508064, 491936, 456378, 510997, 489003, 560485, 485335,   2728,567
 464148, 243467, 728808, 271192, 235818, 735500, 264500, 538245, 466540,   3138,377
 464285, 189795, 776530, 223470, 184693, 785714, 214286, 525510, 454080,    980,170
